Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.
DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.
FastFox,Rental,Series A,14600000,Gurgaon,FastFox: Market Network for Home Rentals (India)
Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers
Corefactors,,Seed,3515000,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company."
Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .
Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.
Shirsa Labs,"Education, Gaming, Training",Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.
PetSutra,Veterinary,Seed,1387000,Gurgaon,Gurugram-based Online petcare platform.
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,3515000,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies
Eduvanz,"Finance, Financial Services",Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market."
Rupeek,"Financial Services, Lending",Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.
Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up
Placio,"Hospitality, Real Estate",Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.
Aviom India Housing Finance,Finance,Series A,21900000,New Delhi,Delhi based housing finance company.
GenRobotic,Market Research,Seed,3515000,Trivandrum,A Robotic Company.
HeyHolidays,"Tourism, Travel",Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals."
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,3515000,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.
Food Memories,"Food and Beverage, Food Processing",Seed,3515000,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.
ZAMROO,"Internet, Marketplace, Shopping",Seed,3515000,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.
Creator’s Gurukul,Facilities Support Services,Angel,3515000,Gurgaon,A coworking space provider.
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000,Bangalore,Predictive Healthcare Analytics Company
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .
6Degree,"Fashion, Lifestyle, Retail",Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform
Chrysalis (EZ Vidya),Education,Seed,3515000,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization
Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.
Streo,Music Streaming,Seed,3515000,Gurgaon,"Live stream music from nightclubs, bars & festivals!"
Groww,"Finance, Impact Investing, Internet",Seed,120000,Kormangala,Groww offers a new way of investing money.
Cell Propulsion,,Seed,1022000,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.
Chezuba,"Internet, Social Entrepreneurship",Angel,204400,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide
Ontrack Technologies Pvt. Ltd,Retail,Seed,3515000,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.
Faclon Labs,"Cloud Computing, Computer, Software",Seed,3515000,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,7300000,Bangalore,Operations and manpower outsourcing startup
CollPoll,Education,Seed,3515000,Bangalore,World-class Enterprise System for Education.
Zyla Health,"Health Care, Hospitality",Seed,3515000,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.
Hubhopper,"Internet, Social News, Sports",Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .
Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.
Workflexi,Human Resources,Seed,1460000,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract"
Streak,Financial Services,Seed,3285000,Bangalore,Algorithmic trading platform.
Kuants,Financial Services,Seed,730000,Gurgaon,Algorithmic trading platform.
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,3515000,Chennai,A video recording and sharing software.
Satvacart,"E-Commerce, Food Processing",Seed,3515000,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket
Daaki,Health Care,Angel,3515000,Bangalore,Sports Nutrition startup
Simulanis,Training,Seed,500000,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.
MY CHIRAAG CAB,Travel,Seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD
WOTU,Food and Beverage,Seed,3515000,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.
Flathalt,,Angel,50000,Gurgaon,FInd your Customized Home here.
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,7300000,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.
Trendlyne Technologies,Financial Services,Seed,200000,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,20469200,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000,Bangalore,HealthPlix is a healthtech startup
dishq,,Seed,400000,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000,Bengaluru,The boundaries between Human and Machines are shrinking fast.
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.
Trell,,Seed,1250000,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000,Bangalore,Building future human capital through 21st Century Skills programs for K-12
Log 9 Materials,Nanotechnology,Seed,4380000,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,2803200,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.
HousingMan.com,,Seed,15038000,Bengaluru,"New Apartments, Flats for Sale in Bangalore"
Steradian Semiconductors,,Seed,3515000,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,5840000,Mumbai,RupeeCircle is a new age finance company.
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.
The Ken,Digital Media,Series A,1500000,Bengaluru,The Ken is India’s first subscriptions-only business news site
SaffronStays,,Seed,2000000,Mumbai,SaffronStays connects travellers to India's Incredible hosts.
Vebbler,"File Sharing, Personalization, Social Media",Seed,3515000,Bengaluru,A personal network for close people
Foyr,"Home Decor, Interior Design",Series A,4200000,Pune,"Foyr.com is India's first online, automated interior designer"
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.
Inner Being Wellness,,Angel,5110000,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products."
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,3515000,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,14600000,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.
McXtra,"Finance, Financial Services, Insurance",Seed,1300000,Andheri,McXtra is a digital insurance broking startup.
Magic Crate,"Children, Education, Online Portals",Seed,3515000,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month."
SmartVizX,"Software, Virtual Reality",Seed,1450000,Noida,It is a Virtual Reality Solutions StartUp
MySEODoc,,Seed,3515000,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management"
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Seed,29200,Pune,Digital Marketing Agency
Scale Labs,,Seed,1000000,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000,Mylapore,Car Service and Bike Service Mobile App
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries."
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,3515000,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature."
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,2423600,Gurgaon,ZunRoof is a rooftop focused solar startup.
Eggoz,"Food and Beverage, Food Processing",Angel,1752000,Indore,Eggoz is a full-stack layer poultry business operator & service provider .
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000,Gurgaon,Personal Finance
GalaxyCard,"Finance, Financial Services, FinTech",Seed,3515000,Noida,GalaxyCard is a mobile based Instant credit card.
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,2920000,Mumbai,A food processing enterprise registered with StartUp India .
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.
Nivesh.com,"Finance, Financial Services, Marketing",Seed,4380000,Noida,Nivesh.com is a mass market mutual funds investment platform.
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,3515000,Hyderabad,A fully functioning cell culture facility and molecular biology setup.
Poshmiles Online Solutions Private Limited,Travel,Seed,3515000,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.
Reculta,"Education, Human Resources",Seed,3515000,Noida,A campus recruitment solution provider.
Orbo.ai,Internet,Seed,3515000,Mumbai,Orbo is a computer vision and deep facial technology company.
Inntot Technologies,Consumer Electronics,Seed,3515000,Kochi,"Inntot Technologies, is a technology driven company."
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,3515000,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,4818000,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more."
Inc42,"Media and Entertainment, News, Publishing",Seed,3515000,New Delhi,Inc42 is one of the leading tech media publications of India.
Picxy,Internet,Seed,130000,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh."
Huddle,Consulting,Seed,300000,Haryana,A coworking incubator Company.
Benepik,Human Resources,Seed,3515000,Gurgaon,HR Technology start-up.
Cash Suvidha,Finance,Seed,1000000,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,3515000,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients."
Roadcast,,Angel,250000,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,5095400,New Delhi,A digital news platform.
Creditas Solutions,Financial Services,Seed,3515000,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.
UrbanPiper,Software,Seed,3515000,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.
Doxper,"Health Care, Hospital",Seed,10512000,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,7300000,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,3515000,Bangalore,Home of B2B Commerce
HelloVerify,"Fraud Detection, Information Services, Security",Seed,3515000,Noida,HelloVerify is an online background check platform.
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000,Bengaluru,Climate Smart Precision Agriculture Platform
CoinGeto,"Cryptocurrency, Trading Platform",Seed,17520000,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.
Tripeur,Information Technology,Seed,600000,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software
Wedeterna,Wedding,Angel,3515000,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles."
Stumagz,Digital Media,Seed,3515000,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,5110000,Gurgaon,Gurgaon based E-learning platform.
MCaffeine,Consumer Goods,Seed,4672000,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.
TrustCheckr,Information Technology,Angel,100000,Bengaluru,A Bengaluru-based fraud analytics solution provider .
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.
Picture TIme,Digital Entertainment,Seed,36500000,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,3515000,Bangalore,Professional Drones for Enterprise Applications
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,19710000,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes."
Nua,Consumer Goods,Seed,3515000,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.
Kuvera.in,Financial Services,Angel,250000,Bangalore,An online platform for mutual fund investments.
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health
Gramophone,Farming,Seed,1000000,Indore,An agricultural inputs startup Company.
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,3515000,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.
Predible Health,Medical Device,Seed,3515000,Bangalore,Healthcare devices for cancer detection
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,3515000,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments."
Blueleaf Cyberspace Systems,"Internet, Software",Seed,3515000,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.
Toffee,,Seed,1500000,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience."
ORO Wealth,,Series A,1600000,Mumbai,Online wealth management platform
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere."
Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,12000000,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,2190000,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.
Bonphul Air Products,CleanTech,Angel,2920000,Delhi,A clean tech product Company
DheeYantra Research Labs,Artificial Intelligence,Seed,3515000,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages"
Edyoo,Education,Seed,1000000,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use."
Chtrbox,"Advertising, Internet, Marketing",Angel,1460000,Mumbai,Chtrbox connects social media influencers with brands .
Aashiyaan Housing and Development Finance,Financial Services,Seed,19710000,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.
BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,3000000,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks."
Cashkumar,"Consumer Lending, Finance, FinTech",Seed,7300000,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India
Rocketium,"Marketing, Social Media, Video",Seed,2920000,Bangalore,Easy video creation for social media.
FreightBazaar,Transportation,Seed,3515000,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.
OPEN,Banking,Seed,3515000,Bangalore,Open up to a new world of Banking
mfine,"Health Care, Hospital",Series A,4200000,Bengaluru,Hospital & Health Care Start up
Earth Food,"Food and Beverage, Food Processing",Seed,9344000,Pune,Earth Food is a healthy Food Start Up.
Charcoal Eats,Food Processing,Seed,7300000,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.
Wishfie,Apps,Seed,3515000,Bangalore,A platform for people to express their opinions in form of short videos around any topic.
The Social Hook,Marketing,Seed,3515000,Bengaluru,Fast growing Influencer Marketing platform in India.
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,3515000,Mumbai,Software for the new-age freight
Finwego,,Seed,3515000,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,3515000,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,10000000,Bangalore,Peer-to-Peer motor vehicles sharing
Career Anna,"Commercial, E-Learning, Education",Seed,5840000,Bangalore,India's Go to Career Commerce Portal
ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,40000000,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes"
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,3515000,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.
Square Off,"Internet of Things, Robotics",Seed,1100000,Mumbai,Delivering Imagination
UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,50000000,Delhi,UrbanClap is India's leading managed marketplace for home services.
Hospals,"Medical, Tourism",Seed,1500000,New Delhi,Hospals is a medical tourism company.
Kogta Financial India Limited,Financial Services,Series B,224840000,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .
Perspectico,"Career Planning, Education, Internet",Seed,3515000,New Delhi,An Education Management startup.
